file	1 Cells	2 Cells	3 Cells	4 Cells	5 Cells	6 Cells
180508_NJA006_Multiplets	2	4	5	1	0	0
180516_NJA008_Multiplets	3	4	0	0	0	0
180625_Unsorted_Multiplets (2)	3	6	3	0	0	0
180625_Unsorted_Multiplets (3)	4	4	2	0	0	0
180625_Unsorted_Multiplets	1	2	4	1	0	0
180627_NJA011_Multiplets	0	3	0	1	0	0
180710_NJA012_Multiplets(2)	0	1	2	0	0	0
180710_NJA012_Multiplets	0	2	3	1	0	0
180823_NJA014_Multiplets	0	2	3	0	0	0
190927_NJA015_Multiplets	1	4	0	0	1	0
181024_NJA016_Multiplets	1	1	2	0	1	0
181120_NJA018_Multiplets(2)	3	4	1	0	0	0
181120_NJA018_Multiplets	4	9	0	0	0	0
